Customer_ID;Age;Sex;Marital_Status;Education;Income;Customer_Rating;Persons_in_Household;Occupation;Groceries
82;57;female;married;tertiary;31000;fair;3;housemaid;root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner
83;73;male;single;secondary; ;very_good;1;retired;root vegetables,onions,hard cheese,frozen vegetables
84;82;female;married;secondary;24000;good;4;retired;herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles
85;58;male;single;tertiary;33000;good;1;management;bottled water
86;76;female;divorced;primary;22000;fair;1;retired;sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent
87;68;male;married;primary;27000;fair;3;retired;coffee,newspapers
88;26;female;married;primary;24000;good;5;entrepreneur;pork,other vegetables,whipped/sour cream
89;42;male;married;tertiary;36000;excellent;3;management;berries,yogurt
90; ;female;divorced;secondary;23000;fair;1;housemaid;soda
91;42;male;married;primary;24000;fair;3;blue-collar;berries
92;53;male;married;primary;28000;very_good;3;blue-collar;fruit/vegetable juice,salty snack,candles
93;44;male;single;secondary;28000;fair;1;management;citrus fruit,butter milk,yogurt,cream cheese
94;69;female;single;tertiary;42000;good;1;retired;pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate
95;85;male;married;tertiary;36000;fair;3;retired;detergent
96;54;male;married;tertiary;44000;fair;2;blue-collar;grapes,photo/film
97;58;male;divorced;secondary;9000;very_good;1;entrepreneur;sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags
98;76;male;married;tertiary;48000;excellent;3;retired;chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent
99;83;male;married;primary;26000;excellent;2;retired;whole milk,yogurt,brown bread
100;26;female;divorced;tertiary;31000;fair;1;housemaid;citrus fruit,tropical fruit
101;83;male;married;secondary;38000;poor;3;retired;soda,misc. beverages
102;66;male;married;secondary;34000;good;3;retired;sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner
103; ;female;married;primary;23000;fair;4;housemaid;frankfurter,rolls/buns,bottled water
104;40;male;single;tertiary;23000;fair;1;management;sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags
105;28;female;married;tertiary;45000;very_good;3;entrepreneur;soda
106;55;male;married;secondary;30000;poor;3;unknown;rolls/buns,fruit/vegetable juice
107;67;female;married;primary;23000;fair;3;unknown;beef,citrus fruit,berries,root vegetables,brown bread,detergent
108;24;male;married;secondary;25000;fair;2;unemployed;whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags
109;22;male;single;primary;30000;fair;1;self-employed;processed cheese
110;69;female;married;primary;32000;good;2;retired;tropical fruit,pip fruit
111;62;male;married;primary;35000;good;3;management;frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes
112;52;male;married;secondary;13000;good;3;entrepreneur;packaged fruit/vegetables,bottled water
113;49;female;single;tertiary;51000;very_good;2;housemaid;whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers
114;79;male;married;secondary;18000;very_good;4;retired;berries,whipped/sour cream
115;40;female;divorced;primary;32000;very_good;1;management;citrus fruit,berries,UHT-milk,processed cheese
116;42;female;single;tertiary;33000;very_good;2;housemaid;tropical fruit,whole milk,yogurt
117;21;female;single;tertiary;25000;poor;1;entrepreneur;hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine
118;34;male;married;secondary;31000;very_good;3;entrepreneur;hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes
119;73;male;divorced;tertiary;13000;good;1;retired;whole milk,cream cheese,soda
120;73;female;divorced;secondary;34000;good;1;retired;fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags
121;32;female;married;primary;33000;good;3;management;frankfurter,sausage,long life bakery product,waffles
122;67;male;married;primary;37000;good;4;retired;packaged fruit/vegetables,dessert,semi-finished bread,canned beer
123; ;male;single;tertiary;30000;poor;2;unemployed;pastry,soda
124; ;female;divorced;tertiary;24000;good;1;housemaid;other vegetables,red/blush wine
125;60;male;married;tertiary;46000;poor;3;entrepreneur;misc. beverages
126;61;male;married;secondary;25000;very_good;3;management;frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles
127;24;female;married;tertiary;30000;very_good;3;self-employed;sparkling wine
128;30;male;single;tertiary;35000;very_good;1;unknown;specialty bar
129;38;male;single;secondary;37000;very_good;1;entrepreneur;sausage,butter milk,rolls/buns
130;73;female;married;secondary;39000;fair;4;retired;curd cheese
131;71;female;married;primary;37000;fair;3;retired;frankfurter,dessert
132;41;male;married;tertiary;35000;fair;3;management;whole milk,yogurt,beverages,brown bread,shopping bags
133;35;female;married;secondary;12000;excellent;4;self-employed;newspapers
134;66;male;single;tertiary;18000;good;2;retired;berries,soda
135;61;male;married;secondary;33000;poor;3;entrepreneur;curd,flour,liquor (appetizer)
136;56;female;married;secondary;34000;fair;2;housemaid;tropical fruit,other vegetables,coffee
137;74;male;married;tertiary;39000;very_good;2;retired;soda
138;36;female;married;tertiary;30000;very_good;3;housemaid;rolls/buns,Instant food products
139;36;female;married;tertiary;48000;good;4;unknown;canned beer
140;23;male;married;secondary;29000;very_good;3;entrepreneur;canned beer
141;83;male;married;secondary;35000;good;2;retired;frankfurter,sausage,whole milk,rolls/buns,margarine
142;84;male;married;primary;30000;fair;3;retired;other vegetables,misc. beverages,canned beer
143;83;female;single;tertiary; ;very_good;1;retired;whole milk,frozen vegetables
144;31;female;married;secondary;29000;good;3;blue-collar;whole milk
145;81;male;divorced;secondary;27000;poor;1;retired;citrus fruit,butter,cream cheese,white bread,oil,margarine,newspapers
146;40;male;divorced;tertiary;32000;fair;1;self-employed;frankfurter,rolls/buns
147;46;female;married;secondary;33000;very_good;3;housemaid;frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder
148;37;female;married;primary;17000;very_good;2;housemaid;butter milk,yogurt,honey,soda,detergent
149;83;male;single;primary;24000;poor;1;retired;hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care
150;76;female;married;primary;46000;good;2;retired;pasta,popcorn
151;78;male;single;primary;37000;poor;1;retired;other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags
152;28;male;divorced;primary;18000;very_good;1;management;sausage,pork,citrus fruit,dessert,white bread,dishes,candles
153;54;female;married;tertiary;28000;good;3;unknown;rolls/buns
154;62;female;single;primary;48000;very_good;1;housemaid;grapes,other vegetables,curd,dessert,yogurt,napkins
155;22;male;married;primary;25000;good;3;unemployed;root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer
156;80;female;married;primary;28000;fair;3;retired;coffee,shopping bags
157;68;female;married;primary;32000;very_good;2;retired;popcorn
158;75;male;married;primary;31000;poor;4;retired;whole milk,rolls/buns,sugar,bottled water,soda
159;34;male;married;primary;32000;good;4;unemployed;tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products
160;57;male;single;secondary;54000;fair;2;management;beef,herbs,flour,cling film/bags,flower soil/fertilizer
161;35;female;single;secondary;14000;very_good;1;blue-collar;whole milk,butter,dessert,rolls/buns
162;37;male;married;secondary;35000;very_good;2;self-employed;frankfurter,soda,chewing gum
163;46;female;married;tertiary;34000;good;2;blue-collar;tropical fruit,specialty cheese,bottled water
164;46;female;married;secondary;32000;fair;3;housemaid;canned beer
165;67;male;married;secondary;29000;fair;4;retired;finished products,other vegetables,frozen vegetables,bottled beer
166;68;female;married;secondary;35000;very_good;4;retired;beverages,soda
167; ;male;married;secondary;22000;excellent;4;blue-collar;hamburger meat,root vegetables,whole milk
168;52;male;single;primary;43000;fair;2;self-employed;whole milk,pastry,long life bakery product
169;45;male;married;tertiary;53000;good;3;blue-collar;finished products,white wine,shopping bags
170;49;male;single;tertiary; ;fair;1;management;other vegetables
171; ;male;married;tertiary;51000;good;3;blue-collar;ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer
172;83;female;married;tertiary;15000;good;3;retired;other vegetables
173;52;male;married;tertiary;46000;good;2;blue-collar;curd,butter milk,cocoa drinks,salty snack,popcorn
174;30;female;married;secondary;34000;very_good;3;entrepreneur;bottled beer
175;21;female;married;tertiary;3000;fair;2;unemployed;curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags
176;73;male;married;primary;30000;fair;3;unknown;whole milk,cream cheese,cereals,dog food
177;76;male;married;tertiary;27000;fair;3;retired;whole milk,salt
178;78;male;married;secondary;30000;excellent;4;retired;dessert,ice cream
179;64;female;married;secondary;28000;good;4;housemaid;sausage,soft cheese,coffee
180;77;female;divorced;secondary;16000;very_good;1;retired;other vegetables,bottled water,waffles,dishes,shopping bags
181;63;male;married;tertiary;10000;good;3;entrepreneur;ham,whole milk,rolls/buns
182;62;male;married;secondary;32000;good;2;services;other vegetables,ice cream
183;33;male;single;tertiary;32000;fair;1;entrepreneur;other vegetables,bottled water
184;38;male;married;secondary;42000;excellent;4;blue-collar;soda,bottled beer,white wine,prosecco
185;49;female;single;primary;46000;very_good;1;housemaid;herbs,candy
186;29;female;married;primary;16000;excellent;3;self-employed;frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles
187;81;male;divorced;primary;41000;very_good;2;retired;rolls/buns,canned beer
188;55;male;divorced;secondary;24000;excellent;1;self-employed;curd,cream cheese,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags
189; ;male;married;secondary;28000;fair;3;self-employed;frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags
190;32;male;single;tertiary;44000;very_good;1;self-employed;other vegetables
191;42;male;married;primary;35000;good;2;self-employed;dog food
192;79;male;single;primary;31000;very_good;1;retired;specialty bar
193;63;female;divorced;primary;14000;good;1;blue-collar;curd,salt,liquor (appetizer),detergent,shopping bags
194;56;female;married;tertiary;29000;excellent;3;housemaid;frankfurter,rolls/buns
195;23;female;single;primary;24000;very_good;2;housemaid;soda
196; ;male;married;primary;39000;good;3;unemployed;beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread
197;78;female;divorced;primary;28000;poor;1;retired;canned beer
198;82;female;single;secondary;30000;very_good;1;unknown;pork,beef,pip fruit,herbs,spices
199;75;male;married;primary;20000;very_good;3;unknown;frankfurter,citrus fruit,UHT-milk,margarine,sugar
200;45;male;single;tertiary;31000;fair;1;management;sausage,bottled beer,liquor (appetizer)
201;21;male;married;primary;21000;good;3;entrepreneur;canned beer
202;46;male;married;secondary;40000;poor;2;management;specialty chocolate
203;25;male;married;primary;29000;fair;3;unknown;curd,rolls/buns
204;67;female;single;secondary;36000;very_good;1;retired;canned beer
205;55;female;married;primary;34000;very_good;3;blue-collar;whole milk,bottled water,newspapers
206;75;male;married;secondary;24000;good;3;retired;rolls/buns,chewing gum
207;26;female;married;primary;25000;very_good;3;unemployed;pork,root vegetables,other vegetables,whole milk,dishes
208;57;male;married;primary;9000;excellent;3;entrepreneur;citrus fruit,pastry
209; ;female;single;primary;30000;fair;1;unknown;potted plants
210;86;male;married;primary;25000;poor;3;retired;rolls/buns,pastry,soda
211;53;female;divorced;secondary;18000;fair;1;entrepreneur;butter,yogurt,bottled water,soda,make up remover,hygiene articles
212;28;male;married;secondary;13000;good;2;entrepreneur;condensed milk,sugar,coffee,shopping bags
213;51;female;single;secondary;39000;very_good;1;housemaid;sausage,other vegetables,yogurt,soda,shopping bags
214;38;male;married;primary;30000;good;4;management;whole milk,beverages,UHT-milk,soda
215;25;female;married;primary;15000;very_good;2;housemaid;sausage,pork,beef,whole milk,rolls/buns,margarine
216;68;male;married;tertiary;30000;excellent;3;retired;beverages
217;33;female;single;primary;48000;good;1;blue-collar;beverages,specialty bar
218;67;female;married;primary;15000;poor;4;retired;bottled water,fruit/vegetable juice
219;21;male;divorced;secondary;23000;good;1;blue-collar;newspapers
220;60;male;married;secondary;15000;fair;2;entrepreneur;cleaner,female sanitary products
221;80;male;married;secondary;31000;excellent;4;retired;sausage,soda,newspapers,shopping bags
222;55;male;single;tertiary;18000;fair;2;management;newspapers
223;46;male;married;secondary;32000;fair;2;unemployed;sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware
224;65;female;married;secondary;25000;very_good;3;retired;misc. beverages,newspapers
225;26;male;married;primary;34000;poor;2;management;white wine
226;62;male;single;tertiary;32000;good;1;unemployed;sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags
227;49;female;married;tertiary;29000;very_good;3;unknown;meat,curd,bottled beer,cake bar
228;78;female;single;secondary;47000;fair;1;retired;frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags
229;52;female;married;primary;21000;poor;3;entrepreneur;ice cream,rolls/buns,canned beer
230;24;female;married;tertiary;34000;very_good;2;entrepreneur;canned beer
231;31;male;married;primary;7000;good;3;services;tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags
232;74;male;single;secondary;19000;very_good;1;retired;meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese,rolls/buns,brown bread,tea,bottled water
233;49;male;divorced;primary;31000;very_good;2;unemployed;whole milk,mustard,bottled water
234;43;male;married;primary;26000;fair;3;blue-collar;sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds)
235;27;male;married;secondary;24000;good;2;self-employed;frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product
236;72;female;married;tertiary;26000;good;4;retired;meat,other vegetables,butter,rolls/buns
237; ;female;married;primary;19000;good;3;housemaid;root vegetables,beverages,Instant food products,pickled vegetables,detergent
238;39;male;divorced;tertiary;35000;good;1;blue-collar;root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns
239;39;male;married;primary;26000;very_good;3;unemployed;whole milk,whipped/sour cream,semi-finished bread,margarine
240;70;male;married;tertiary;20000;good;2;retired;citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins
241;32;male;married;tertiary;31000;fair;2;entrepreneur;citrus fruit,curd,pastry,margarine,sugar,candy,newspapers
242;21;male;married;primary;34000;good;5;blue-collar;other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins
243;61;male;married;primary;38000;good;3;unemployed;citrus fruit,whole milk,rolls/buns
244; ;female;married;secondary;21000;fair;3;unknown;sausage,oil,hygiene articles,napkins
245;52;male;married;primary;40000;excellent;2;entrepreneur;frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer
246;39;male;married;primary;29000;very_good;2;entrepreneur;hard cheese,rolls/buns,bottled water,newspapers
247;66;male;married;secondary;27000;fair;3;retired;cream cheese,rolls/buns,soda,chocolate
248;23;male;married;secondary;28000;good;5;entrepreneur;turkey,beef,frozen vegetables,dishes,photo/film
249;84;female;married;primary;30000;good;3;retired;pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags
250;70;female;married;secondary;25000;very_good;3;retired;whole milk,beverages
251;35;female;married;tertiary;42000;good;4;entrepreneur;rolls/buns,soda
252;22;male;married;primary;22000;very_good;6;entrepreneur;sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles
253;41;female;divorced;primary;23000;fair;1;entrepreneur;ice cream
254; ;male;married;secondary;36000;fair;4;self-employed;liquor
255;49;male;single;secondary; ;fair;1;unknown;pip fruit,other vegetables,fruit/vegetable juice
256;73;female;single;tertiary;31000;good;1;retired;root vegetables,other vegetables,yogurt
257;27;female;married;secondary;32000;fair;3;entrepreneur;soda
258;68;female;single;primary;39000;fair;1;retired;soda
259;40;female;married;primary;37000;good;3;blue-collar;sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers
260;62;male;married;tertiary;43000;fair;3;entrepreneur;root vegetables,whole milk,pet care,detergent
261;79;male;married;tertiary;25000;very_good;2;retired;pork,berries,root vegetables,other vegetables,pastry,specialty bar
262;40;male;married;secondary;44000;fair;3;management;pork
263;73;female;single;secondary;21000;poor;1;retired;chocolate
264;21;male;married;tertiary;36000;poor;3;unemployed;fruit/vegetable juice
265;62;female;married;primary;24000;good;3;housemaid;pickled vegetables,coffee
266;28;female;married;tertiary;39000;fair;3;housemaid;bottled water
267;47;female;married;secondary;39000;fair;3;housemaid;frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices
268;29;male;single;secondary;32000;good;2;blue-collar;tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins
269;37;female;married;primary;28000;excellent;3;housemaid;canned beer
270;68;female;single;tertiary;34000;poor;1;retired;root vegetables
271;43;male;married;primary;19000;very_good;3;entrepreneur;meat,citrus fruit,berries,root vegetables,whole milk,soda
272;86;male;single;secondary;40000;excellent;2;retired;frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles
273; ;female;married;secondary;45000;very_good;2;entrepreneur;tropical fruit,margarine,rum
274;42;male;married;secondary;15000;good;3;management;tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles
275;82;female;married;primary;28000;excellent;3;retired;citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese,domestic eggs,brown bread,margarine,baking powder,waffles
276;29;female;married;primary;32000;fair;4;housemaid;hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice
277;52;female;married;tertiary;20000;very_good;3;blue-collar;chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles
278;23;male;single;secondary;29000;very_good;1;management;chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns
279;31;male;single;tertiary;31000;fair;1;entrepreneur;frankfurter,citrus fruit,onions,other vegetables,whole milk,rolls/buns,sugar,soda
280;31;female;married;primary;27000;good;4;entrepreneur;canned beer
281;83;male;married;tertiary;26000;fair;3;unknown;turkey,pip fruit,salad dressing,pastry
282;21;male;married;secondary;42000;very_good;4;blue-collar;packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables,bottled water,misc. beverages
283;53;male;single;tertiary;17000;very_good;2;self-employed;pasta
284;54;male;married;tertiary;27000;excellent;4;unemployed;citrus fruit,tropical fruit
285;43;male;single;primary;29000;excellent;1;entrepreneur;sausage,whole milk,yogurt,rolls/buns,brown bread,potted plants
286;41;male;married;primary;8000;very_good;5;blue-collar;whole milk,frozen meals,pastry,fruit/vegetable juice,waffles
287;58;male;single;secondary;43000;very_good;1;self-employed;canned beer
288;83;male;married;secondary;40000;very_good;2;retired;citrus fruit,sugar,sauces
289;31;female;married;primary;31000;very_good;2;entrepreneur;liquor (appetizer)
290;49;male;married;tertiary;37000;poor;3;blue-collar;citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags
291;86;male;single;secondary;21000;fair;1;retired;sausage
292;47;female;married;tertiary; ;very_good;3;housemaid;chicken,other vegetables,whole milk,vinegar,oil,bottled water,canned beer,napkins,newspapers
293;53;female;married;secondary;32000;good;3;blue-collar;hamburger meat,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,flour,margarine
294;34;male;divorced;primary;30000;very_good;1;entrepreneur;sausage,pork,other vegetables,dessert,yogurt,oil,soda
295;46;female;married;tertiary;25000;fair;5;entrepreneur;beef,berries,root vegetables,whole milk,whipped/sour cream,abrasive cleaner
296;29;male;married;primary;29000;fair;4;entrepreneur;citrus fruit,packaged fruit/vegetables,yogurt,bottled water
297;71;female;married;primary;40000;very_good;3;retired;UHT-milk,coffee
298;85;male;divorced;tertiary; ;poor;1;retired;candy
